text,label
"Scientists announce breakthrough in renewable energy technology that could revolutionize power generation worldwide.",0
"Local government approves new infrastructure project to improve public transportation.",0
"Study finds regular exercise linked to improved mental health outcomes.",0
"Tech company reports quarterly earnings exceeding analyst expectations.",0
"New research suggests Mediterranean diet may reduce heart disease risk.",0
"City council votes to increase funding for public schools.",0
"University researchers develop new method for water purification.",0
"Economic report shows steady job growth in manufacturing sector.",0
"Weather service predicts above-average temperatures for summer months.",0
"Museum opens new exhibit showcasing local history and culture.",0
"BREAKING: Aliens land in major city and demand world leaders meet them immediately!",1
"Secret government experiment creates army of super soldiers hidden from public!",1
"Scientists PROVE that the moon is actually a hologram projected by elites!",1
"Miracle cure discovered that pharma companies are hiding from you!",1
"Celebrity caught shapeshifting on live television - video proof inside!",1
"Government admits to controlling weather with secret technology!",1
"Ancient prophecy predicts end of world next week - experts confirm!",1
"Vaccine contains microchips to track your every movement!",1
"Billionaire builds secret underground city to escape coming apocalypse!",1
"Scientists confirm flat earth theory after secret NASA documents leak!",1
"Climate change conference reaches agreement on carbon emission targets.",0
"New smartphone release features improved battery life and camera.",0
"Sports team announces new stadium construction plans.",0
"Hospital implements new patient care protocols to improve outcomes.",0
"Education department releases updated curriculum guidelines for schools.",0
"SHOCKING: World leaders are actually lizard people in disguise!",1
"Drinking bleach cures all diseases - doctors don't want you to know!",1
"Time traveler from 2050 reveals winning lottery numbers!",1
"Area 51 insider exposes alien technology being used in consumer products!",1
"Famous actor reveals he never actually existed - was AI all along!",1
